hour,is_peak_hour,weather_condition,brt_lane_isolated,avg_speed_kmh,conflict_risk_index,delay_minutes
12,0,2,1,29.47501260706082,0.10563172392382321,2.3449154868508137
20,0,0,1,30.20017946948237,0.15569713151242773,0.0
16,0,0,1,26.617118135342878,0.5818311470634862,0.0
13,0,0,1,42.19716632016488,0.6094644818033486,0.0
12,0,0,1,15.481855949430184,0.7763076500134093,0.0
16,0,0,0,38.46513789273739,0.21876878766156557,0.0
16,0,1,1,18.731484937239728,0.5618647753811009,0.0
9,1,1,0,38.92642081611598,0.27500287998851974,3.301468866760195
13,0,2,1,33.47735747030164,0.1838765076064252,0.0
8,1,0,1,40.29834272809207,0.4694462146544991,0.0
7,1,0,1,17.925429769226923,0.24700298328015152,0.5929319002157621
17,1,0,1,31.769419022993223,0.29960378037308677,0.0
11,0,0,1,30.032636407865912,0.3857991218825516,0.0
7,1,0,1,36.18579548890076,0.33344956066887665,0.0
6,0,0,1,31.028716556810274,0.17883216766535176,0.0
17,1,1,0,31.222037013993127,0.18092462037373208,5.225043589702693
17,1,0,1,27.88787830728194,0.27392447371075135,0.0
22,0,0,1,24.265032720220226,0.14550326916358508,0.0
15,0,0,1,29.467930837565767,0.6638113177092344,0.0
21,0,0,0,18.55477076305202,0.35859404485801183,0.6709460311259418
20,0,0,0,43.84540016949254,0.35177137099216393,0.0
20,0,2,0,36.43232290879795,0.3987984648139886,4.339414843414867
17,1,0,0,43.5740135006354,0.6965166467887495,1.559557427490755
8,1,0,1,21.801821469898897,0.8835704933351415,3.763588305405096
10,0,0,1,41.38023060529584,0.7831782393000746,0.0
12,0,1,1,39.26369953690615,0.7547763072025855,0.0
14,0,2,0,35.314572373730215,0.5359520670407644,3.7955745600265063
12,0,1,0,33.750875582556176,0.7244250012706706,3.6344693196819953
9,1,0,0,24.4964899580361,0.5974861312302249,5.912580574910679
19,1,0,0,39.49232354895092,0.29462547536787603,0.42710918449494084
14,0,0,0,30.045463844392014,0.28772953096694565,0.0
7,1,2,0,17.126747276738563,0.3667528061877551,9.57885158523709
20,0,1,1,24.3858948256539,0.9197224038728319,2.4832166394916557
12,0,0,1,43.05891295635983,0.5926733563417533,0.0
17,1,1,1,40.52040781814539,0.7605148393016825,3.405833256176313
13,0,1,1,44.45717094229617,0.4119028838348928,0.0
20,0,0,1,33.83980147812294,0.46694419359870276,0.0
8,1,2,0,22.425302194212357,0.21300902077352624,9.32453415544326
19,1,2,0,19.884451490305914,0.25416546203950335,9.692811914361428
22,0,0,1,20.60743321825385,0.844620899343531,0.0
9,1,0,0,15.593869750417632,0.6263547685199938,4.693599979226098
13,0,0,1,26.720463329578173,0.40377921929543703,0.0
9,1,0,1,20.742830414986276,0.8225660880959914,3.4366871197979654
7,1,0,1,27.34966381370107,0.32186791507418466,0.0
11,0,0,1,43.04983295516296,0.9784294287401835,0.0
15,0,2,1,27.9162062852157,0.4103358469715528,1.891728040971581
9,1,0,0,41.339534909545044,0.4035798587361048,2.013082755871192
17,1,0,0,33.1651429984763,0.3807207149830347,2.410733938648861
7,1,0,1,22.413946639841758,0.20990036433185916,0.0
15,0,0,1,25.675642777776343,0.20002343259881117,0.0
9,1,1,0,17.51758607464288,0.683294531080711,9.697789032537782
19,1,0,1,25.003877807880315,0.8876062401022423,3.449490503362595
21,0,0,1,35.32622836510602,0.8114684592445062,0.0
20,0,0,1,17.163332787883057,0.226996834619216,0.0
13,0,1,1,21.162042254340882,0.5910239096128598,0.0
19,1,1,1,26.443231242399342,0.195032391378976,2.414281811153012
13,0,0,1,44.46148611047887,0.1407651792517697,0.0
21,0,0,1,38.545854688766404,0.6907472734462905,0.0
18,1,0,0,37.00460239476311,0.5816371003123153,1.621623603263302
20,0,0,1,18.485728695763378,0.17382131669032377,0.0
18,1,0,0,38.42987680844975,0.13144532176538962,1.2293929123306833
14,0,0,1,38.55806434548045,0.9907807720684012,0.0
20,0,0,1,33.03308086872985,0.1270191989341647,0.0
18,1,0,1,44.71085345995115,0.5000754277451437,0.0
6,0,1,1,24.757617177736556,0.554157122146926,0.0
12,0,0,0,43.23817344725555,0.20555213302040054,0.0
14,0,0,0,42.44193344869511,0.25215560059574466,0.0
6,0,0,1,15.344419792481336,0.4166245057693173,0.0
